,R2,MSE,RMSE
GradientBoosting,0.8789518532850926,18792571.226919454,4335.039933716811
RandomForest,0.8644969094035918,21036682.928307235,4586.576384222467
XGBRegressor,0.8454584035864013,23992386.805924807,4898.202405569293
DecisionTree,0.8061643978869217,30092731.345999524,5485.684218581992
LinearRegression,0.7835929767120731,33596915.851361334,5796.284659276263
RidgeCV,0.783563330948871,33601518.31849256,5796.681664408747
LassoCV,0.7799012068700281,34170058.436298415,5845.516096658909
SVR,-0.07149402790922443,166348088.63391805,12897.6001114129
